,price,rank,title,no_of_reviews,ratings,author,cover_type,year
236,9.99,99,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",11833.00,4.7,Christopher McDougall,Paperback,2011
237,39.99,100,The Official Guide for GMAT Review,303.00,4.4,GMAC (Graduate Management Admission Council),Paperback,2011
238,11.13,1,"Fifty Shades Of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series, 1)",111859.00,4.2,E L James,Paperback,2012
239,8.89,2,Fifty Shades Darker,75924.00,4.5,E L James,Paperback,2012
240,11.8,3,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",61913.00,4.5,E L James,Paperback,2012
241,7.19,4,The Hunger Games (Book 1),80816.00,4.7,Suzanne Collins,Paperback,2012
242,15.37,5,StrengthsFinder 2.0,8180.00,4.1,Gallup,Hardcover,2012
243,23.69,6,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),69968.00,4.6,E L James,Paperback,2012
244,11.64,7,Catching Fire (The Hunger Games),64916.00,4.7,Suzanne Collins,Hardcover,2012
245,11.44,8,Mockingjay (the Final Book of the Hunger Games) (Hunger Games (Cloth)),79880.00,4.6,Suzanne Collins,Hardcover,2012
246,13.95,9,"The Third Wheel (Diary of a Wimpy Kid, Book 7)",20599.00,4.7,Jeff Kinney,Hardcover,2012
247,13.75,10,No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,14262.00,4.6,Mark Owen,Hardcover,2012
248,38.62,11,The Hunger Games Trilogy Boxed Set,47138.00,4.8,Suzanne Collins,Hardcover,2012
249,16.98,12,Gone Girl,161568.00,4.1,Gillian Flynn,Hardcover,2012
250,11.37,13,"The Mark of Athena (Heroes of Olympus, Book 3)",31603.00,4.8,Rick Riordan,Hardcover,2012
251,1.87,14,The Official SAT Study Guide,1558.00,4.4,The College Board,Paperback,2012
252,8.51,15,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,8392.00,4.7,George R.R. Martin,Mass Market Paperback,2012
253,19.25,16,Killing Kennedy: The End of Camelot,15519.00,4.5,Bill O'Reilly,Hardcover,2012
254,15.38,17,"Publication Manual of the American Psychological Association, 6th Edition",12971.00,4.5,American Psychological Association,Paperback,2012
255,12.98,18,Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),15075.00,4.6,Bill O'Reilly,Hardcover,2012
256,15.68,19,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",75437.00,4.7,Laura Hillenbrand,Hardcover,2012
257,11.39,20,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,23626.00,4.4,Eben Alexander,Paperback,2012
258,17,21,The 5 Love Languages: The Secret to Love That Lasts,4962.00,4.7,Gary Chapman,Paperback,2012
259,18.29,22,Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,2551.00,4.8,Ina Garten,Hardcover,2012
260,19.49,23,"Thinking, Fast and Slow",40511.00,4.6,Daniel Kahneman,Hardcover,2012
261,12.69,24,The Casual Vacancy,20722.00,3.6,J.K. Rowling,Hardcover,2012
262,10.59,25,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,24231.00,4.7,Jonathan Cahn,Paperback,2012
263,15.61,26,The Power of Habit: Why We Do What We Do in Life and Business,37132.00,4.6,Charles Duhigg,Hardcover,2012
264,18.29,27,Steve Jobs,23442.00,4.7,Walter Isaacson,Hardcover,2012
265,13.76,28,"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",10839.00,4.4,William Davis,Hardcover,2012
266,7.49,29,"Oh, the Places You'll Go!  ",48077.00,4.9,Dr. Seuss,Hardcover,2012
267,17.95,30,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,1762.00,4.6,Stephen R. Covey,Paperback,2012
268,18.29,51,The Smitten Kitchen Cookbook: Recipes and Wisdom from an Obsessive Home Cook,1970.00,4.7,Deb Perelman,Hardcover,2012
269,17.81,52,What to Expect When You're Expecting,32927.00,4.8,Heidi Murkoff,Paperback,2012
270,38.99,53,The Walking Dead: Compendium One,8699.00,4.8,Robert Kirkman,Paperback,2012
271,14.4,54,The Signal and the Noise: Why So Many Predictions Fail-But Some Don't,3704.00,4.4,Nate Silver,Hardcover,2012
272,7.77,55,How to Tell If Your Cat Is Plotting to Kill You (The Oatmeal) (Volume 2),12828.00,4.5,The Oatmeal,Paperback,2012
273,19,56,A Dance with Dragons (A Song of Ice and Fire),47723.00,4.6,George R. R. Martin,Hardcover,2012
274,13.02,57,America Again: Re-becoming the Greatness We Never Weren't,651.00,4.3,Stephen Colbert,Hardcover,2012
275,21.27,58,LEGO NINJAGO: Character Encyclopedia,1036.00,4.5,DK Publishing,Hardcover,2012
276,18.99,59,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,42396.00,4.5,Chris Kyle,Hardcover,2012
277,16.99,60,Outliers: The Story of Success,35973.00,4.6,Malcolm Gladwell,Paperback,2012
278,16.78,61,Teach Like a Champion: 49 Techniques that Put Students on the Path to College,884.00,4.5,Doug Lemov,Paperback,2012
279,19,62,Bared to You,32533.00,4.4,Sylvia Day,Paperback,2012
280,7.74,63,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),107993.00,4.7,Don Miguel Ruiz,Paperback,2012
281,15.52,64,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",2625.00,4.5,Tom Rath,Hardcover,2012
282,15.8,65,The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,3215.00,4.3,Mike Moreno,Hardcover,2012
283,17.12,66,Crazy Love: Overwhelmed by a Relentless God,2262.00,4.7,Francis Chan,Paperback,2012
284,13.45,67,Go the F**k to Sleep,22528.00,4.8,Adam Mansbach,Hardcover,2012
285,16.25,68,Bring Up the Bodies,18767.00,4.5,Hilary Mantel,Hardcover,2012
286,15.69,69,"Great by Choice: Uncertainty, Chaos, and Luck--Why Some Thrive Despite Them All (Good to Great, 5)",1594.00,4.6,Jim Collins,Hardcover,2012
287,17.99,70,Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss,11194.00,4.5,Joel Fuhrman MD,Mass Market Paperback,2012
288,17,71,"Reflected in You (Crossfire, Book 2)",23752.00,4.6,Sylvia Day,Paperback,2012
289,12.99,72,Who Moved My Cheese,24711.00,4.6,Spencer Johnson,Hardcover,2012
290,7.83,73,The Book Thief,67292.00,4.6,Markus Zusak,Paperback,2012
291,13,74,A Guide to the Project Management Body of Knowledge,755.00,4.4,Project Management Institute,Paperback,2012
292,14.35,75,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",9098.00,4.2,Katherine Boo,Hardcover,2012
293,17.31,76,"Deadlocked (Sookie Stackhouse/True Blood, Book 12)",6733.00,4.5,Charlaine Harris,Hardcover,2012
294,13.6,77,"Crucial Conversations Tools for Talking When Stakes Are High, Second Edition",12000.00,4.6,Kerry Patterson,Paperback,2012
295,15.99,78,Forks Over Knives: The Plant-Based Way to Health. The #1 New York Times Bestseller,3204.00,4.5,Gene Stone,Paperback,2012
296,11.69,79,The Jesus Storybook Bible: Every Story Whispers His Name,12656.00,4.9,Sally Lloyd-Jones,Hardcover,2012
297,14.7,80,Notorious Nineteen: A Stephanie Plum Novel,14620.00,4.5,Janet Evanovich,Hardcover,2012
298,19.87,81,"The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life",2827.00,4.5,Timothy Ferriss,Hardcover,2012
299,11.99,82,Cloud Atlas,5824.00,4.3,David Mitchell,Paperback,2012
300,25,83,The Alchemist,3816.00,4.7,Paulo Coelho,Paperback,2012
301,22.6,84,The Hunger Games,42770.00,4.7,Suzanne Collins,Hardcover,2012
302,13,85,"Help, Thanks, Wow: The Three Essential Prayers",2022.00,4.6,Anne Lamott,Hardcover,2012
303,9.67,86,Wonder,35698.00,4.8,R. J. Palacio,Hardcover,2012
304,22.97,87,"Stop Living In This Land, Go To The Everlasting World Of Happiness, Live There Forever",50.00,3.8,Woo Myung,Hardcover,2012
305,9.29,88,"To Heaven and Back: A Doctor's Extraordinary Account of Her Death, Heaven, Angels, and Life Again: A True Story",4826.00,4.5,Mary C. Neal,Paperback,2012
306,9.79,89,"Forks Over Knives: The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",13075.00,4.5,Del Sroufe,Paperback,2012
307,12.55,90,Catching Fire (Hunger Games),32459.00,4.7,Suzanne Collins,Paperback,2012
308,19.81,91,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)",13061.00,4.8,Robert Jordan,Hardcover,2012
309,4.89,92,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",11127.00,4.8,Jeff Kinney,Hardcover,2012
310,15.98,93,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,11732.00,4.6,Sean Covey,Paperback,2012
311,26.43,94,The Passage of Power: The Years of Lyndon Johnson,1511.00,4.8,Robert A. Caro,Hardcover,2012
312,14.52,95,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,5477.00,4.8,Ree Drummond,Hardcover,2012
313,23.95,96,"Divine Healing Hands: Experience Divine Power to Heal You, Animals, and Nature, and to Transform All Life (Soul Power)",153.00,4.6,Zhi Gang Sha Dr.,Hardcover,2012
314,24,97,"The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet, Weight Loss, And Long-term Health",5331.00,4.7,Thomas Campbell,Paperback,2012
315,,,,,,,,2012
316,20.26,99,The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,6212.00,4.8,Timothy Keller,Hardcover,2012
317,5.49,100,Night (Night),8573.00,4.7,Elie Wiesel,Paperback,2012
318,15.37,1,StrengthsFinder 2.0,8180.00,4.1,Gallup,Hardcover,2013
319,14.94,2,"Lean In: Women, Work, and the Will to Lead",17085.00,4.5,Sheryl Sandberg,Hardcover,2013
320,12.3,3,"Diary of a Wimpy Kid: Hard Luck, Book 8",26435.00,4.6,Jeff Kinney,Hardcover,2013
321,11.36,4,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),10201.00,4.9,Rush Limbaugh,Hardcover,2013
322,8.89,5,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",43017.00,4.9,Sarah Young,Hardcover,2013
323,15.69,6,Inferno: A Novel (Robert Langdon),82446.00,4.2,Dan Brown,Hardcover,2013
324,12.2,7,"The House of Hades (Heroes of Olympus, Book 4)",34159.00,4.8,Rick Riordan,Hardcover,2013
325,11.96,8,"Things That Matter: Three Decades of Passions, Pastimes and Politics [Deckled Edge]",11066.00,4.6,Charles Krauthammer,Hardcover,2013
326,6.84,9,The Great Gatsby: The Only Authorized Edition,15476.00,4.4,F. Scott Fitzgerald,Paperback,2013
327,19.39,10,Killing Jesus (Bill O'Reilly's Killing Series),21075.00,4.5,Bill O'Reilly,Hardcover,2013
328,11.39,11,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,23626.00,4.4,Eben Alexander,Paperback,2013
329,93.49,12,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",13025.00,4.7,American Psychiatric Association,Paperback,2013
330,1.87,13,The Official SAT Study Guide,1.56,4.4,The College Board,Paperback,2013
331,10.8,14,The Fault in Our Stars,160029.00,4.6,John Green,Hardcover,2013
332,7.83,15,The Book Thief,67292.00,4.6,Markus Zusak,Paperback,2013
333,9.4,16,Wonder,83334.00,4.7,R. J. Palacio,Hardcover,2013
334,17,17,The 5 Love Languages: The Secret to Love That Lasts,4962.00,4.7,Gary Chapman,Paperback,2013
335,15.38,18,"Publication Manual of the American Psychological Association, 6th Edition",12971.00,4.5,American Psychological Association,Paperback,2013
336,12.83,19,Divergent,17846.00,4.7,Veronica Roth,Paperback,2013
337,4.99,20,Laugh-Out-Loud Jokes for Kids,11768.00,4.6,Rob Elliott,Paperback,2013
338,7.49,21,"Oh, the Places You'll Go!  ",48083.00,4.9,Dr. Seuss,Hardcover,2013
339,9.99,22,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",13533.00,4.4,Malcolm Gladwell,Hardcover,2013
340,8.51,23,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,8392.00,4.7,George R.R. Martin,Mass Market Paperback,2013
341,11.72,24,Allegiant,66897.00,4.1,Veronica Roth,Hardcover,2013
342,12.98,25,And the Mountains Echoed,40067.00,4.3,Khaled Hosseini,Hardcover,2013
343,15.67,26,Humans of New York,5583.00,4.8,Brandon Stanton,Hardcover,2013
344,25.49,27,The Legend of Zelda: Hyrule Historia,10388.00,4.9,Patrick Thorpe,Hardcover,2013
345,14.89,28,Doctor Sleep: A Novel,41126.00,4.6,Stephen King,Hardcover,2013
346,4.99,29,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),5945.00,4.5,Rob Elliott,Paperback,2013
347,18.5,30,The Goldfinch: A Novel (Pulitzer Prize for Fiction),124205.00,4.1,Donna Tartt,Hardcover,2013
348,15.68,51,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",75437.00,4.7,Laura Hillenbrand,Hardcover,2013
349,7.13,52,Ender's Game (The Ender Quintet),39944.00,4.6,Orson Scott Card,Mass Market Paperback,2013
350,12.86,53,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,40383.00,4.7,Brené Brown,Paperback,2013
351,15.69,54,"The Cuckoo's Calling (A Cormoran Strike Novel, 1)",71139.00,4.2,Robert Galbraith,Hardcover,2013
352,17.81,55,What to Expect When You're Expecting,32927.00,4.8,Heidi Murkoff,Paperback,2013
353,7.61,56,America the Beautiful: Rediscovering What Made This Nation Great,4610.00,4.7,Ben Carson  M.D.,Paperback,2013
354,13.96,57,The Liberty Amendments: Restoring the American Republic,4339.00,4.8,Mark R. Levin,Hardcover,2013
355,18,58,ZEALOT: The Life and Times of Jesus of Nazareth,10819.00,4.4,Reza Aslan,Hardcover,2013
356,10.64,59,The One and Only Ivan: A Newbery Award Winner,26185.00,4.8,Katherine Applegate,Hardcover,2013
357,18.29,60,Good to Great: Why Some Companies Make the Leap and Others Don't,8446.00,4.5,Jim Collins,Hardcover,2013
358,13.2,61,SI-COLOGY 1: Tales and Wisdom from Duck Dynasty's Favorite Uncle,2568.00,4.7,Si Robertson,Hardcover,2013
359,24.99,62,"IT'S ALL GOOD: Delicious, Easy Recipes That Will Make You Look Good and Feel Great",1471.00,4.5,Gwyneth Paltrow,Hardcover,2013
360,16.99,63,Outliers: The Story of Success,35973.00,4.6,Malcolm Gladwell,Paperback,2013
361,19.29,64,Jerusalem: A Cookbook,5558.00,4.8,Yotam Ottolenghi,Hardcover,2013
362,50.41,65,"Becoming a Supple Leopard: Movement, Mobility, and Maintenance of the Human Animal",1503.00,4.7,Kelly Starrett,Hardcover,2013
363,13.99,66,"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers",10868.00,4.5,David Perlmutter MD,Hardcover,2013
364,7.64,67,Looking for Alaska,31766.00,4.5,John Green,Paperback,2013
365,18.2,68,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,19932.00,4.5,Malala Yousafzai,Hardcover,2013
366,4.98,69,Love You Forever,59737.00,4.9,Robert Munsch,Paperback,2013
367,11.22,70,The Perks of Being a Wallflower,38369.00,4.7,Stephen Chbosky,Paperback,2013
368,11.98,71,Practical Paleo: A Customized Approach to Health and a Whole-Foods Lifestyle,4689.00,4.6,Diane Sanfilippo,Paperback,2013
369,23.69,72,Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),69968.00,4.6,E L James,Paperback,2013
370,12.84,73,"The FastDiet: Lose Weight, Stay Healthy, and Live Longer with the Simple Secret of Intermittent Fasting",14232.00,4.3,Dr Dr Michael Mosley,Hardcover,2013
371,11.69,74,The Jesus Storybook Bible: Every Story Whispers His Name,12656.00,4.9,Sally Lloyd-Jones,Hardcover,2013
372,9.44,75,Divergent / Insurgent,60257.00,4.5,Veronica Roth,Hardcover,2013
373,10.3,76,How to Win Friends & Influence People (Dale Carnegie Books),111939.00,4.7,Dale Carnegie,Paperback,2013
374,23.75,77,"The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism",4151.00,4.5,Doris Kearns Goodwin,Hardcover,2013
375,7.19,78,The Hunger Games (Book 1),80816.00,4.7,Suzanne Collins,Paperback,2013
376,10.99,79,ObamaCare Survival Guide: The Affordable Care Act and What It Means for You and Your Healthcare,1007.00,3.8,Nick J. Tate,Paperback,2013
377,10.59,80,The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,24231.00,4.7,Jonathan Cahn,Paperback,2013
378,12.1,81,The Immortal Life of Henrietta Lacks,16936.00,4.7,Rebecca Skloot,Paperback,2013
379,5.49,82,Night (Night),8573.00,4.7,Elie Wiesel,Paperback,2013
380,13.99,83,Fifty Shades Darker,32887.00,4.5,E L James,Paperback,2013
381,12.99,84,"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",9950.00,4.5,Joel Fuhrman MD,Paperback,2013
382,9.79,85,"Forks Over Knives: The Cookbook. A New York Times Bestseller: Over 300 Simple and Delicious Plant-Based Recipes to Help You Lose Weight, Be Healthier, and Feel Better Every Day",13075.00,4.5,Del Sroufe,Paperback,2013
383,13.88,86,"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition) (Fifty Shades Of Grey Series, 3)",32375.00,4.5,E L James,Paperback,2013
384,25,87,The Alchemist,3816.00,4.7,Paulo Coelho,Paperback,2013
385,8.99,88,The Catcher in the Rye,30925.00,4.5,J.D. Salinger,Mass Market Paperback,2013
386,8.55,89,Mindset: The New Psychology of Success,13911.00,4.6,Carol S. Dweck,Paperback,2013
387,19.59,90,"Wheat Belly Cookbook: 150 Recipes to Help You Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",2277.00,4.4,William Davis,Hardcover,2013
388,75.49,91,MyMathLab: Student Access Kit,4558.00,4.2,Hall H Pearson Education,Printed Access Code,2013
389,9.48,92,"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl Library)",24552.00,4.8,Valorie Schaefer,Paperback,2013
390,19.19,93,The Power of Habit: Why We Do What We Do in Life and Business,22727.00,4.7,Charles Duhigg,Hardcover,2013
391,16.39,94,The Reason I Jump: The Inner Voice of a Thirteen-Year-Old Boy with Autism,7514.00,4.7,Naoki Higashida,Hardcover,2013
392,15.64,95,"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow",2349.00,4.5,Tom Rath,Hardcover,2013
393,9.87,96,Kaplan GRE Premier 2014 with 6 Practice Tests: book + online + DVD + mobile,463.00,4.3,Kaplan,Paperback,2013
394,16.25,97,The Longest Ride,13380.00,4.7,Nicholas Sparks,Hardcover,2013
395,15.59,98,Life Code: The New Rules for Winning in the Real World,3901.00,4.4,Phil McGraw,Hardcover,2013
396,12.8,99,The Lego Ideas Book: Unlock Your Imagination,9887.00,4.5,Daniel Lipkowitz,Hardcover,2013
397,19.81,100,"A Memory of Light (Wheel of Time, Book 14) (Wheel of Time, 14)",13061.00,4.8,Robert Jordan,Hardcover,2013
398,15.37,1,StrengthsFinder 2.0,8180.00,4.1,Gallup,Hardcover,2014
399,5.98,2,Frozen (Little Golden Book),8215.00,4.7,RH Disney,Hardcover,2014
400,4.99,3,Laugh-Out-Loud Jokes for Kids,11768.00,4.6,Rob Elliott,Paperback,2014
401,11.69,4,The Fault in Our Stars,160029.00,4.6,John Green,Paperback,2014
402,7.1,5,Diary of a Wimpy Kid: The Long Haul,29816.00,4.6,Jeff Kinney,Hardcover,2014
403,18.99,6,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),19752.00,4.5,Bill O'Reilly,Hardcover,2014
404,15.86,7,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,22531.00,4.6,Randall Munroe,Hardcover,2014
405,11.48,8,The Blood of Olympus (The Heroes of Olympus),41910.00,4.8,Rick Riordan,Hardcover,2014
406,8.89,9,"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",43017.00,4.9,Sarah Young,Hardcover,2014
407,12.49,10,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",75437.00,4.7,Laura Hillenbrand,Paperback,2014
408,5.9,11,Ultimate Sticker Book: Frozen: More Than 60 Reusable Full-Color Stickers,4966.00,4.6,DK,Paperback,2014
409,9.4,12,The Day the Crayons Quit,22793.00,4.8,Drew Daywalt,Hardcover,2014
410,12.83,13,Divergent,17846.00,4.7,Veronica Roth,Paperback,2014
411,10.8,14,The Fault in Our Stars,160029.00,4.6,John Green,Hardcover,2014
412,7.49,15,"Oh, the Places You'll Go!  ",48083.00,4.9,Dr. Seuss,Hardcover,2014
413,20.59,16,To Kill a Mockingbird,130637.00,4.7,Harper Lee,Mass Market Paperback,2014
414,12.9,17,Gone Girl,161570.00,4.1,Gillian Flynn,Paperback,2014
415,7.83,18,The Book Thief,67292.00,4.6,Markus Zusak,Paperback,2014
416,1.87,19,The Official SAT Study Guide,1558.00,4.4,The College Board,Paperback,2014
417,15.67,20,Humans of New York,5583.00,4.8,Brandon Stanton,Hardcover,2014
418,18.5,21,The Goldfinch: A Novel (Pulitzer Prize for Fiction),124205.00,4.1,Donna Tartt,Hardcover,2014
419,93.49,22,"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",13025.00,4.7,American Psychiatric Association,Paperback,2014
420,9.4,23,Wonder,83334.00,4.7,R. J. Palacio,Hardcover,2014
421,9.9,24,The Book with No Pictures,19067.00,4.8,B. J. Novak,Hardcover,2014
422,10.99,25,Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2),5471.00,4.9,Rush Limbaugh,Hardcover,2014
423,17,26,The 5 Love Languages: The Secret to Love That Lasts,4962.00,4.7,Gary Chapman,Paperback,2014
424,4.99,27,Knock-Knock Jokes for Kids: Knock-Knock Jokes for Kids (Joke Book & Gift Idea for Children Ages 6-12. Doubles as a Dad Jokes book for Father's Day and Birthdays) (Laugh-Out-Loud Jokes for Kids),5945.00,4.5,Rob Elliott,Paperback,2014
425,7.11,28,JOURNEY TO THE ICE P,1101.00,4.6,RH Disney,Paperback,2014
426,15.38,29,"Publication Manual of the American Psychological Association, 6th Edition",12971.00,4.5,American Psychological Association,Paperback,2014
427,7.83,30,Little Blue Truck,1961.00,4.9,Alice Schertle,Board book,2014
428,11.72,51,Allegiant,66897.00,4.1,Veronica Roth,Hardcover,2014
429,14.52,52,Yes Please,20540.00,4.2,Amy Poehler,Hardcover,2014
430,18.2,53,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",12416.00,4.6,Patrick Lencioni,Hardcover,2014
431,7.74,54,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),107993.00,4.7,Don Miguel Ruiz,Paperback,2014
432,18.86,55,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,9407.00,4.7,Stephen R. Covey,Paperback,2014
433,11,56,41: A Portrait of My Father,5029.00,4.6,George W. Bush,Hardcover,2014
434,52.99,57,Minecraft: The Complete Handbook Collection,1435.00,4.8,Stephanie Milton,Hardcover,2014
435,5.99,58,Frozen: A Tale of Two Sisters,2249.00,4.4,Melissa Lagonegro,Paperback,2014
436,11.36,59,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),10201.00,4.9,Rush Limbaugh,Hardcover,2014
437,12.86,60,The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,40383.00,4.7,Brené Brown,Paperback,2014
438,58.68,61,Divergent / Insurgent / Allegiant,4662.00,4.6,Veronica Roth,Hardcover,2014
439,9.43,62,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,24991.00,4.6,Todd Burpo,Paperback,2014
440,18.99,63,Flash Boys,17847.00,4.5,Michael Lewis,Hardcover,2014
441,11.3,64,Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans,4887.00,4.9,Rush Limbaugh,Hardcover,2014
442,5,65,Dear Zoo: A Lift-the-Flap Book,28338.00,4.9,Rod Campbell,Board book,2014
443,3.97,66,The Going To Bed Book,17481.00,4.8,Sandra Boynton,Board book,2014
444,29.49,67,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,10488.00,4.7,George R. R. Martin,Hardcover,2014
445,57.97,68,The Real ACT Prep Guide,816.00,4.4,ACT,Paperback,2014
446,17.88,69,Gray Mountain: A Novel,86451.00,4,John Grisham,Hardcover,2014
447,17.81,70,What to Expect When You're Expecting,32927.00,4.8,Heidi Murkoff,Paperback,2014
448,11.69,71,The Jesus Storybook Bible: Every Story Whispers His Name,12656.00,4.9,Sally Lloyd-Jones,Hardcover,2014
449,14.94,72,"Lean In: Women, Work, and the Will to Lead",17085.00,4.5,Sheryl Sandberg,Hardcover,2014
450,15,73,The Invention of Wings,53631.00,4.5,Sue Monk Kidd,Hardcover,2014
451,5.79,74,Lord of the Flies,45652.00,4.5,William Golding,Mass Market Paperback,2014
452,6.27,75,Night (Night),20192.00,4.7,Elie Wiesel,Paperback,2014
453,8.93,76,The Catcher in the Rye,37784.00,4.4,J.D. Salinger,Mass Market Paperback,2014
454,14,77,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual, Mental, Emotional, and Physical Bodies",289.00,4.6,Zhi Gang Sha,Hardcover,2014
